,Unnamed: 0.1,Unnamed: 0,Survived,Pclass,Sex,Age,SibSp,Parch
159,159,159,died,3,male,29.69911764705882,8,2
160,160,160,died,3,male,44.0,0,1
161,161,161,survived,2,female,40.0,0,0
162,162,162,died,3,male,26.0,0,0
163,163,163,died,3,male,17.0,0,0
164,164,164,died,3,male,1.0,4,1
165,165,165,survived,3,male,9.0,0,2
166,166,166,survived,1,female,29.69911764705882,0,1
167,167,167,died,3,female,45.0,1,4
168,168,168,died,1,male,29.69911764705882,0,0
169,169,169,died,3,male,28.0,0,0
170,170,170,died,1,male,61.0,0,0
171,171,171,died,3,male,4.0,4,1
172,172,172,survived,3,female,1.0,1,1
173,173,173,died,3,male,21.0,0,0
174,174,174,died,1,male,56.0,0,0
175,175,175,died,3,male,18.0,1,1
176,176,176,died,3,male,29.69911764705882,3,1
177,177,177,died,1,female,50.0,0,0
178,178,178,died,2,male,30.0,0,0
179,179,179,died,3,male,36.0,0,0
180,180,180,died,3,female,29.69911764705882,8,2
181,181,181,died,2,male,29.69911764705882,0,0
182,182,182,died,3,male,9.0,4,2
183,183,183,survived,2,male,1.0,2,1
184,184,184,survived,3,female,4.0,0,2
185,185,185,died,1,male,29.69911764705882,0,0
186,186,186,survived,3,female,29.69911764705882,1,0
187,187,187,survived,1,male,45.0,0,0
188,188,188,died,3,male,40.0,1,1
189,189,189,died,3,male,36.0,0,0
190,190,190,survived,2,female,32.0,0,0
191,191,191,died,2,male,19.0,0,0
192,192,192,survived,3,female,19.0,1,0
193,193,193,survived,2,male,3.0,1,1
194,194,194,survived,1,female,44.0,0,0
195,195,195,survived,1,female,58.0,0,0
196,196,196,died,3,male,29.69911764705882,0,0
197,197,197,died,3,male,42.0,0,1
198,198,198,survived,3,female,29.69911764705882,0,0
199,199,199,died,2,female,24.0,0,0
200,200,200,died,3,male,28.0,0,0
201,201,201,died,3,male,29.69911764705882,8,2
202,202,202,died,3,male,34.0,0,0
203,203,203,died,3,male,45.5,0,0
204,204,204,survived,3,male,18.0,0,0
205,205,205,died,3,female,2.0,0,1
206,206,206,died,3,male,32.0,1,0
207,207,207,survived,3,male,26.0,0,0
208,208,208,survived,3,female,16.0,0,0
209,209,209,survived,1,male,40.0,0,0
210,210,210,died,3,male,24.0,0,0
211,211,211,survived,2,female,35.0,0,0
212,212,212,died,3,male,22.0,0,0
213,213,213,died,2,male,30.0,0,0
214,214,214,died,3,male,29.69911764705882,1,0
215,215,215,survived,1,female,31.0,1,0
216,216,216,survived,3,female,27.0,0,0
217,217,217,died,2,male,42.0,1,0
218,218,218,survived,1,female,32.0,0,0
219,219,219,died,2,male,30.0,0,0
220,220,220,survived,3,male,16.0,0,0
221,221,221,died,2,male,27.0,0,0
222,222,222,died,3,male,51.0,0,0
223,223,223,died,3,male,29.69911764705882,0,0
224,224,224,survived,1,male,38.0,1,0
225,225,225,died,3,male,22.0,0,0
226,226,226,survived,2,male,19.0,0,0
227,227,227,died,3,male,20.5,0,0
228,228,228,died,2,male,18.0,0,0
229,229,229,died,3,female,29.69911764705882,3,1
230,230,230,survived,1,female,35.0,1,0
231,231,231,died,3,male,29.0,0,0
232,232,232,died,2,male,59.0,0,0
233,233,233,survived,3,female,5.0,4,2
234,234,234,died,2,male,24.0,0,0
235,235,235,died,3,female,29.69911764705882,0,0
236,236,236,died,2,male,44.0,1,0
237,237,237,survived,2,female,8.0,0,2
238,238,238,died,2,male,19.0,0,0
239,239,239,died,2,male,33.0,0,0
240,240,240,died,3,female,29.69911764705882,1,0
241,241,241,survived,3,female,29.69911764705882,1,0
242,242,242,died,2,male,29.0,0,0
243,243,243,died,3,male,22.0,0,0
244,244,244,died,3,male,30.0,0,0
245,245,245,died,1,male,44.0,2,0
246,246,246,died,3,female,25.0,0,0
247,247,247,survived,2,female,24.0,0,2
248,248,248,survived,1,male,37.0,1,1
249,249,249,died,2,male,54.0,1,0
250,250,250,died,3,male,29.69911764705882,0,0
251,251,251,died,3,female,29.0,1,1
252,252,252,died,1,male,62.0,0,0
253,253,253,died,3,male,30.0,1,0
254,254,254,died,3,female,41.0,0,2
255,255,255,survived,3,female,29.0,0,2
256,256,256,survived,1,female,29.69911764705882,0,0
257,257,257,survived,1,female,30.0,0,0
258,258,258,survived,1,female,35.0,0,0
259,259,259,survived,2,female,50.0,0,1
260,260,260,died,3,male,29.69911764705882,0,0
261,261,261,survived,3,male,3.0,4,2
262,262,262,died,1,male,52.0,1,1
263,263,263,died,1,male,40.0,0,0
264,264,264,died,3,female,29.69911764705882,0,0
265,265,265,died,2,male,36.0,0,0
266,266,266,died,3,male,16.0,4,1
267,267,267,survived,3,male,25.0,1,0
268,268,268,survived,1,female,58.0,0,1
269,269,269,survived,1,female,35.0,0,0
270,270,270,died,1,male,29.69911764705882,0,0
271,271,271,survived,3,male,25.0,0,0
272,272,272,survived,2,female,41.0,0,1
273,273,273,died,1,male,37.0,0,1
274,274,274,survived,3,female,29.69911764705882,0,0
275,275,275,survived,1,female,63.0,1,0
276,276,276,died,3,female,45.0,0,0
277,277,277,died,2,male,29.69911764705882,0,0
278,278,278,died,3,male,7.0,4,1
279,279,279,survived,3,female,35.0,1,1
280,280,280,died,3,male,65.0,0,0
281,281,281,died,3,male,28.0,0,0
282,282,282,died,3,male,16.0,0,0
283,283,283,survived,3,male,19.0,0,0
284,284,284,died,1,male,29.69911764705882,0,0
285,285,285,died,3,male,33.0,0,0
286,286,286,survived,3,male,30.0,0,0
287,287,287,died,3,male,22.0,0,0
288,288,288,survived,2,male,42.0,0,0
289,289,289,survived,3,female,22.0,0,0
290,290,290,survived,1,female,26.0,0,0
291,291,291,survived,1,female,19.0,1,0
292,292,292,died,2,male,36.0,0,0
293,293,293,died,3,female,24.0,0,0
294,294,294,died,3,male,24.0,0,0
295,295,295,died,1,male,29.69911764705882,0,0
296,296,296,died,3,male,23.5,0,0
297,297,297,died,1,female,2.0,1,2
298,298,298,survived,1,male,29.69911764705882,0,0
299,299,299,survived,1,female,50.0,0,1
300,300,300,survived,3,female,29.69911764705882,0,0
301,301,301,survived,3,male,29.69911764705882,2,0
302,302,302,died,3,male,19.0,0,0
303,303,303,survived,2,female,29.69911764705882,0,0
304,304,304,died,3,male,29.69911764705882,0,0
305,305,305,survived,1,male,0.92,1,2
306,306,306,survived,1,female,29.69911764705882,0,0
307,307,307,survived,1,female,17.0,1,0
308,308,308,died,2,male,30.0,1,0
309,309,309,survived,1,female,30.0,0,0
310,310,310,survived,1,female,24.0,0,0
311,311,311,survived,1,female,18.0,2,2
312,312,312,died,2,female,26.0,1,1
313,313,313,died,3,male,28.0,0,0
314,314,314,died,2,male,43.0,1,1
315,315,315,survived,3,female,26.0,0,0
316,316,316,survived,2,female,24.0,1,0
317,317,317,died,2,male,54.0,0,0
318,318,318,survived,1,female,31.0,0,2
319,319,319,survived,1,female,40.0,1,1
320,320,320,died,3,male,22.0,0,0
321,321,321,died,3,male,27.0,0,0
322,322,322,survived,2,female,30.0,0,0
323,323,323,survived,2,female,22.0,1,1
324,324,324,died,3,male,29.69911764705882,8,2
325,325,325,survived,1,female,36.0,0,0
326,326,326,died,3,male,61.0,0,0
327,327,327,survived,2,female,36.0,0,0
328,328,328,survived,3,female,31.0,1,1
329,329,329,survived,1,female,16.0,0,1
330,330,330,survived,3,female,29.69911764705882,2,0
331,331,331,died,1,male,45.5,0,0
332,332,332,died,1,male,38.0,0,1
333,333,333,died,3,male,16.0,2,0
334,334,334,survived,1,female,29.69911764705882,1,0
335,335,335,died,3,male,29.69911764705882,0,0
336,336,336,died,1,male,29.0,1,0
337,337,337,survived,1,female,41.0,0,0
338,338,338,survived,3,male,45.0,0,0
339,339,339,died,1,male,45.0,0,0
340,340,340,survived,2,male,2.0,1,1
341,341,341,survived,1,female,24.0,3,2
342,342,342,died,2,male,28.0,0,0
343,343,343,died,2,male,25.0,0,0
344,344,344,died,2,male,36.0,0,0
345,345,345,survived,2,female,24.0,0,0
346,346,346,survived,2,female,40.0,0,0
347,347,347,survived,3,female,29.69911764705882,1,0
348,348,348,survived,3,male,3.0,1,1
349,349,349,died,3,male,42.0,0,0
350,350,350,died,3,male,23.0,0,0
351,351,351,died,1,male,29.69911764705882,0,0
352,352,352,died,3,male,15.0,1,1
353,353,353,died,3,male,25.0,1,0
354,354,354,died,3,male,29.69911764705882,0,0
355,355,355,died,3,male,28.0,0,0
356,356,356,survived,1,female,22.0,0,1
357,357,357,died,2,female,38.0,0,0
358,358,358,survived,3,female,29.69911764705882,0,0
359,359,359,survived,3,female,29.69911764705882,0,0
360,360,360,died,3,male,40.0,1,4
361,361,361,died,2,male,29.0,1,0
362,362,362,died,3,female,45.0,0,1
363,363,363,died,3,male,35.0,0,0
364,364,364,died,3,male,29.69911764705882,1,0
365,365,365,died,3,male,30.0,0,0
366,366,366,survived,1,female,60.0,1,0
367,367,367,survived,3,female,29.69911764705882,0,0
368,368,368,survived,3,female,29.69911764705882,0,0
369,369,369,survived,1,female,24.0,0,0
370,370,370,survived,1,male,25.0,1,0
371,371,371,died,3,male,18.0,1,0
372,372,372,died,3,male,19.0,0,0
373,373,373,died,1,male,22.0,0,0
374,374,374,died,3,female,3.0,3,1
375,375,375,survived,1,female,29.69911764705882,1,0
376,376,376,survived,3,female,22.0,0,0
377,377,377,died,1,male,27.0,0,2
378,378,378,died,3,male,20.0,0,0
379,379,379,died,3,male,19.0,0,0
380,380,380,survived,1,female,42.0,0,0
381,381,381,survived,3,female,1.0,0,2
382,382,382,died,3,male,32.0,0,0
383,383,383,survived,1,female,35.0,1,0
384,384,384,died,3,male,29.69911764705882,0,0
385,385,385,died,2,male,18.0,0,0
386,386,386,died,3,male,1.0,5,2
387,387,387,survived,2,female,36.0,0,0
388,388,388,died,3,male,29.69911764705882,0,0
389,389,389,survived,2,female,17.0,0,0
390,390,390,survived,1,male,36.0,1,2
391,391,391,survived,3,male,21.0,0,0
392,392,392,died,3,male,28.0,2,0
393,393,393,survived,1,female,23.0,1,0
394,394,394,survived,3,female,24.0,0,2
395,395,395,died,3,male,22.0,0,0
396,396,396,died,3,female,31.0,0,0
397,397,397,died,2,male,46.0,0,0
398,398,398,died,2,male,23.0,0,0
399,399,399,survived,2,female,28.0,0,0
400,400,400,survived,3,male,39.0,0,0
401,401,401,died,3,male,26.0,0,0
402,402,402,died,3,female,21.0,1,0
403,403,403,died,3,male,28.0,1,0
404,404,404,died,3,female,20.0,0,0
405,405,405,died,2,male,34.0,1,0
406,406,406,died,3,male,51.0,0,0
407,407,407,survived,2,male,3.0,1,1
408,408,408,died,3,male,21.0,0,0
409,409,409,died,3,female,29.69911764705882,3,1
410,410,410,died,3,male,29.69911764705882,0,0
411,411,411,died,3,male,29.69911764705882,0,0
412,412,412,survived,1,female,33.0,1,0
413,413,413,died,2,male,29.69911764705882,0,0
414,414,414,survived,3,male,44.0,0,0
415,415,415,died,3,female,29.69911764705882,0,0
416,416,416,survived,2,female,34.0,1,1
417,417,417,survived,2,female,18.0,0,2
418,418,418,died,2,male,30.0,0,0
419,419,419,died,3,female,10.0,0,2
420,420,420,died,3,male,29.69911764705882,0,0
421,421,421,died,3,male,21.0,0,0
422,422,422,died,3,male,29.0,0,0
423,423,423,died,3,female,28.0,1,1
424,424,424,died,3,male,18.0,1,1
425,425,425,died,3,male,29.69911764705882,0,0
426,426,426,survived,2,female,28.0,1,0
427,427,427,survived,2,female,19.0,0,0
428,428,428,died,3,male,29.69911764705882,0,0
429,429,429,survived,3,male,32.0,0,0
430,430,430,survived,1,male,28.0,0,0
431,431,431,survived,3,female,29.69911764705882,1,0
432,432,432,survived,2,female,42.0,1,0
433,433,433,died,3,male,17.0,0,0
434,434,434,died,1,male,50.0,1,0
435,435,435,survived,1,female,14.0,1,2
436,436,436,died,3,female,21.0,2,2
437,437,437,survived,2,female,24.0,2,3
438,438,438,died,1,male,64.0,1,4
439,439,439,died,2,male,31.0,0,0
440,440,440,survived,2,female,45.0,1,1
441,441,441,died,3,male,20.0,0,0
442,442,442,died,3,male,25.0,1,0
443,443,443,survived,2,female,28.0,0,0
444,444,444,survived,3,male,29.69911764705882,0,0
445,445,445,survived,1,male,4.0,0,2
446,446,446,survived,2,female,13.0,0,1
447,447,447,survived,1,male,34.0,0,0
448,448,448,survived,3,female,5.0,2,1
449,449,449,survived,1,male,52.0,0,0
450,450,450,died,2,male,36.0,1,2
451,451,451,died,3,male,29.69911764705882,1,0
452,452,452,died,1,male,30.0,0,0
453,453,453,survived,1,male,49.0,1,0
454,454,454,died,3,male,29.69911764705882,0,0
455,455,455,survived,3,male,29.0,0,0
456,456,456,died,1,male,65.0,0,0
457,457,457,survived,1,female,29.69911764705882,1,0
458,458,458,survived,2,female,50.0,0,0
459,459,459,died,3,male,29.69911764705882,0,0
460,460,460,survived,1,male,48.0,0,0
461,461,461,died,3,male,34.0,0,0
462,462,462,died,1,male,47.0,0,0
463,463,463,died,2,male,48.0,0,0
464,464,464,died,3,male,29.69911764705882,0,0
465,465,465,died,3,male,38.0,0,0
466,466,466,died,2,male,29.69911764705882,0,0
467,467,467,died,1,male,56.0,0,0
468,468,468,died,3,male,29.69911764705882,0,0
469,469,469,survived,3,female,0.75,2,1
470,470,470,died,3,male,29.69911764705882,0,0
471,471,471,died,3,male,38.0,0,0
472,472,472,survived,2,female,33.0,1,2
473,473,473,survived,2,female,23.0,0,0
474,474,474,died,3,female,22.0,0,0
475,475,475,died,1,male,29.69911764705882,0,0
476,476,476,died,2,male,34.0,1,0
477,477,477,died,3,male,29.0,1,0
478,478,478,died,3,male,22.0,0,0
479,479,479,survived,3,female,2.0,0,1
480,480,480,died,3,male,9.0,5,2
481,481,481,died,2,male,29.69911764705882,0,0
482,482,482,died,3,male,50.0,0,0
483,483,483,survived,3,female,63.0,0,0
484,484,484,survived,1,male,25.0,1,0
485,485,485,died,3,female,29.69911764705882,3,1
486,486,486,survived,1,female,35.0,1,0
487,487,487,died,1,male,58.0,0,0
488,488,488,died,3,male,30.0,0,0
489,489,489,survived,3,male,9.0,1,1
490,490,490,died,3,male,29.69911764705882,1,0
491,491,491,died,3,male,21.0,0,0
492,492,492,died,1,male,55.0,0,0
493,493,493,died,1,male,71.0,0,0
494,494,494,died,3,male,21.0,0,0
495,495,495,died,3,male,29.69911764705882,0,0
496,496,496,survived,1,female,54.0,1,0
497,497,497,died,3,male,29.69911764705882,0,0
498,498,498,died,1,female,25.0,1,2
499,499,499,died,3,male,24.0,0,0
500,500,500,died,3,male,17.0,0,0
501,501,501,died,3,female,21.0,0,0
502,502,502,died,3,female,29.69911764705882,0,0
503,503,503,died,3,female,37.0,0,0
504,504,504,survived,1,female,16.0,0,0
505,505,505,died,1,male,18.0,1,0
506,506,506,survived,2,female,33.0,0,2
507,507,507,survived,1,male,29.69911764705882,0,0
508,508,508,died,3,male,28.0,0,0
509,509,509,survived,3,male,26.0,0,0
510,510,510,survived,3,male,29.0,0,0
511,511,511,died,3,male,29.69911764705882,0,0
512,512,512,survived,1,male,36.0,0,0
513,513,513,survived,1,female,54.0,1,0
514,514,514,died,3,male,24.0,0,0
515,515,515,died,1,male,47.0,0,0
516,516,516,survived,2,female,34.0,0,0
517,517,517,died,3,male,29.69911764705882,0,0
518,518,518,survived,2,female,36.0,1,0
519,519,519,died,3,male,32.0,0,0
520,520,520,survived,1,female,30.0,0,0
521,521,521,died,3,male,22.0,0,0
522,522,522,died,3,male,29.69911764705882,0,0
523,523,523,survived,1,female,44.0,0,1
524,524,524,died,3,male,29.69911764705882,0,0
525,525,525,died,3,male,40.5,0,0
526,526,526,survived,2,female,50.0,0,0
527,527,527,died,1,male,29.69911764705882,0,0
528,528,528,died,3,male,39.0,0,0
529,529,529,died,2,male,23.0,2,1
530,530,530,survived,2,female,2.0,1,1
531,531,531,died,3,male,29.69911764705882,0,0
532,532,532,died,3,male,17.0,1,1
533,533,533,survived,3,female,29.69911764705882,0,2
534,534,534,died,3,female,30.0,0,0
535,535,535,survived,2,female,7.0,0,2
536,536,536,died,1,male,45.0,0,0
537,537,537,survived,1,female,30.0,0,0
538,538,538,died,3,male,29.69911764705882,0,0
539,539,539,survived,1,female,22.0,0,2
540,540,540,survived,1,female,36.0,0,2
541,541,541,died,3,female,9.0,4,2
542,542,542,died,3,female,11.0,4,2
543,543,543,survived,2,male,32.0,1,0
544,544,544,died,1,male,50.0,1,0
545,545,545,died,1,male,64.0,0,0
546,546,546,survived,2,female,19.0,1,0
547,547,547,survived,2,male,29.69911764705882,0,0
548,548,548,died,3,male,33.0,1,1
549,549,549,survived,2,male,8.0,1,1
550,550,550,survived,1,male,17.0,0,2
551,551,551,died,2,male,27.0,0,0
552,552,552,died,3,male,29.69911764705882,0,0
553,553,553,survived,3,male,22.0,0,0
554,554,554,survived,3,female,22.0,0,0
555,555,555,died,1,male,62.0,0,0
556,556,556,survived,1,female,48.0,1,0
557,557,557,died,1,male,29.69911764705882,0,0
558,558,558,survived,1,female,39.0,1,1
559,559,559,survived,3,female,36.0,1,0
560,560,560,died,3,male,29.69911764705882,0,0
561,561,561,died,3,male,40.0,0,0
562,562,562,died,2,male,28.0,0,0
563,563,563,died,3,male,29.69911764705882,0,0
564,564,564,died,3,female,29.69911764705882,0,0
565,565,565,died,3,male,24.0,2,0
566,566,566,died,3,male,19.0,0,0
567,567,567,died,3,female,29.0,0,4
568,568,568,died,3,male,29.69911764705882,0,0
569,569,569,survived,3,male,32.0,0,0
570,570,570,survived,2,male,62.0,0,0
571,571,571,survived,1,female,53.0,2,0
572,572,572,survived,1,male,36.0,0,0
573,573,573,survived,3,female,29.69911764705882,0,0
574,574,574,died,3,male,16.0,0,0
575,575,575,died,3,male,19.0,0,0
576,576,576,survived,2,female,34.0,0,0
577,577,577,survived,1,female,39.0,1,0
578,578,578,died,3,female,29.69911764705882,1,0
579,579,579,survived,3,male,32.0,0,0
580,580,580,survived,2,female,25.0,1,1
581,581,581,survived,1,female,39.0,1,1
582,582,582,died,2,male,54.0,0,0
583,583,583,died,1,male,36.0,0,0
584,584,584,died,3,male,29.69911764705882,0,0
585,585,585,survived,1,female,18.0,0,2
586,586,586,died,2,male,47.0,0,0
587,587,587,survived,1,male,60.0,1,1
588,588,588,died,3,male,22.0,0,0
589,589,589,died,3,male,29.69911764705882,0,0
590,590,590,died,3,male,35.0,0,0
591,591,591,survived,1,female,52.0,1,0
592,592,592,died,3,male,47.0,0,0
593,593,593,died,3,female,29.69911764705882,0,2
594,594,594,died,2,male,37.0,1,0
595,595,595,died,3,male,36.0,1,1
596,596,596,survived,2,female,29.69911764705882,0,0
597,597,597,died,3,male,49.0,0,0
598,598,598,died,3,male,29.69911764705882,0,0
599,599,599,survived,1,male,49.0,1,0
600,600,600,survived,2,female,24.0,2,1
601,601,601,died,3,male,29.69911764705882,0,0
602,602,602,died,1,male,29.69911764705882,0,0
603,603,603,died,3,male,44.0,0,0
604,604,604,survived,1,male,35.0,0,0
605,605,605,died,3,male,36.0,1,0
606,606,606,died,3,male,30.0,0,0
607,607,607,survived,1,male,27.0,0,0
608,608,608,survived,2,female,22.0,1,2
609,609,609,survived,1,female,40.0,0,0
610,610,610,died,3,female,39.0,1,5
611,611,611,died,3,male,29.69911764705882,0,0
612,612,612,survived,3,female,29.69911764705882,1,0
613,613,613,died,3,male,29.69911764705882,0,0
614,614,614,died,3,male,35.0,0,0
615,615,615,survived,2,female,24.0,1,2
616,616,616,died,3,male,34.0,1,1
617,617,617,died,3,female,26.0,1,0
618,618,618,survived,2,female,4.0,2,1
619,619,619,died,2,male,26.0,0,0
620,620,620,died,3,male,27.0,1,0
621,621,621,survived,1,male,42.0,1,0
622,622,622,survived,3,male,20.0,1,1
623,623,623,died,3,male,21.0,0,0
624,624,624,died,3,male,21.0,0,0
625,625,625,died,1,male,61.0,0,0
626,626,626,died,2,male,57.0,0,0
627,627,627,survived,1,female,21.0,0,0
628,628,628,died,3,male,26.0,0,0
629,629,629,died,3,male,29.69911764705882,0,0
630,630,630,survived,1,male,80.0,0,0
631,631,631,died,3,male,51.0,0,0
632,632,632,survived,1,male,32.0,0,0
633,633,633,died,1,male,29.69911764705882,0,0
634,634,634,died,3,female,9.0,3,2
635,635,635,survived,2,female,28.0,0,0
636,636,636,died,3,male,32.0,0,0
637,637,637,died,2,male,31.0,1,1
638,638,638,died,3,female,41.0,0,5
639,639,639,died,3,male,29.69911764705882,1,0
640,640,640,died,3,male,20.0,0,0
641,641,641,survived,1,female,24.0,0,0
642,642,642,died,3,female,2.0,3,2
643,643,643,survived,3,male,29.69911764705882,0,0
644,644,644,survived,3,female,0.75,2,1
645,645,645,survived,1,male,48.0,1,0
646,646,646,died,3,male,19.0,0,0
647,647,647,survived,1,male,56.0,0,0
648,648,648,died,3,male,29.69911764705882,0,0
649,649,649,survived,3,female,23.0,0,0
650,650,650,died,3,male,29.69911764705882,0,0
651,651,651,survived,2,female,18.0,0,1
652,652,652,died,3,male,21.0,0,0
653,653,653,survived,3,female,29.69911764705882,0,0
